timestamp,task_id,subtask_id,user_id,action,outcome,detail,command,version,input,pr
2026-09-25T08:49:28.689Z,P0001,,297915765,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""P0001""}",1
2026-09-25T08:50:14.780Z,P0001,,297915765,submit_encoding,accepted,,campaign.submitOmrLayout,2,"{""task_id"":""P0001"",""staves"":29,""measures"":86,""systems"":8,""movements"":1}",2
2026-09-25T08:51:43.003Z,P0001,S0001,38179254,claim_validation,accepted,,campaign.claimValidation,1,"{""task_id"":""P0001"",""subtask_id"":""S0001""}",3
2026-09-25T08:52:35.700Z,P0001,S0001,38179254,submit_validation,accepted,pass,campaign.submitValidation,2,"{""task_id"":""P0001"",""subtask_id"":""S0001"",""verdict"":""pass""}",4
2026-09-25T08:54:26.767Z,P0002,,297915765,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""P0002""}",5
2026-09-25T08:55:46.646Z,P0002,,297915765,submit_encoding,accepted,,campaign.submitScoreSetup,1,"{""task_id"":""P0002"",""staves"":3,""groups"":0,""keysig"":""1f"",""meter"":""3/4""}",6
2026-09-25T08:56:38.716Z,P0002,S0001,38179254,claim_validation,accepted,,campaign.claimValidation,1,"{""task_id"":""P0002"",""subtask_id"":""S0001""}",7
2026-09-25T08:57:37.615Z,P0002,S0001,38179254,submit_validation,accepted,pass,campaign.submitValidation,2,"{""task_id"":""P0002"",""subtask_id"":""S0001"",""verdict"":""pass""}",8
2026-09-25T09:06:04.316Z,T0001,,297915765,claim_encoding,accepted,,campaign.openEditor,1,"{""task_id"":""T0001""}",9
2026-09-25T09:24:39.296Z,T0001,,297915765,submit_encoding,accepted,,campaign.submitEncoding,1,"{""task_id"":""T0001""}",10
2026-09-25T12:14:13.589Z,T0002,,297915765,claim_encoding,accepted,,campaign.claimTask,1,"{""task_id"":""T0002""}",11
2026-09-25T14:18:55.287Z,T0002,,297915765,reap,released,encoding,,,,
